0,1,2,3,4,5,6,7,8,9
27155.0,34712.0,17461.0,58534.0,3145.0,1649.0,58771.0,22886.0,55248.0,
5700.0,24137.0,44127.0,46751.0,25612.0,,,,,
24414.0,,,,,,,,,
,,,,,,,,,
50928.0,34653.0,57835.0,50637.0,33396.0,56472.0,4512.0,,,
814.0,19777.0,33454.0,,,,,,,
18571.0,17078.0,54386.0,24871.0,20139.0,35512.0,48447.0,,,
50287.0,13496.0,,,,,,,,
26081.0,40263.0,,,,,,,,
48151.0,15455.0,17739.0,13790.0,45135.0,53178.0,,,,
2131.0,53056.0,7061.0,16137.0,19213.0,,,,,
54008.0,22207.0,50084.0,46710.0,19723.0,40072.0,28045.0,56742.0,,
12325.0,1779.0,14555.0,33876.0,2933.0,,,,,
55883.0,57483.0,47246.0,17392.0,23877.0,4445.0,30889.0,,,
43160.0,23451.0,32268.0,16790.0,30019.0,12755.0,48202.0,36049.0,38433.0,
33560.0,27188.0,1552.0,54750.0,23986.0,39099.0,34653.0,56765.0,,
41007.0,23642.0,,,,,,,,
1806.0,57091.0,9307.0,2817.0,1770.0,12612.0,55489.0,7478.0,40686.0,44078.0
13573.0,56268.0,,,,,,,,
3196.0,53361.0,28907.0,30063.0,30935.0,35550.0,,,,
53703.0,43950.0,39663.0,25580.0,56437.0,14475.0,37093.0,48923.0,30597.0,
48422.0,46012.0,33269.0,52180.0,56993.0,40310.0,,,,
6836.0,2736.0,10805.0,25765.0,44314.0,59282.0,37397.0,,,
21580.0,53960.0,50658.0,13946.0,20454.0,36519.0,22187.0,,,
37550.0,38272.0,36845.0,43927.0,18812.0,35748.0,6779.0,16246.0,,
57948.0,40323.0,59247.0,31936.0,17357.0,2653.0,27909.0,,,
24719.0,25945.0,49256.0,56318.0,33120.0,24449.0,,,,
605.0,8854.0,25569.0,45836.0,52972.0,19489.0,38946.0,,,
1325.0,23231.0,32141.0,43053.0,39490.0,28055.0,,,,
12801.0,32514.0,40417.0,16451.0,19879.0,18139.0,4986.0,7857.0,17851.0,
40860.0,24987.0,54834.0,30745.0,45296.0,,,,,
45313.0,39489.0,13673.0,32516.0,,,,,,
49018.0,20963.0,25896.0,1779.0,,,,,,
10636.0,26556.0,13206.0,6777.0,15846.0,6433.0,49456.0,11748.0,,
52408.0,16170.0,19635.0,6469.0,30679.0,34168.0,,,,
52442.0,55795.0,8264.0,19241.0,57617.0,43163.0,,,,
1507.0,53463.0,,,,,,,,
42369.0,44974.0,53910.0,,,,,,,
43974.0,54317.0,57502.0,40072.0,32048.0,9409.0,35393.0,,,
633.0,17987.0,57290.0,50730.0,8410.0,,,,,
15833.0,27008.0,36145.0,19922.0,52008.0,43062.0,6219.0,,,
13012.0,8389.0,,,,,,,,
52428.0,14490.0,25857.0,29745.0,20870.0,25130.0,20500.0,,,
984.0,49264.0,24303.0,33512.0,45962.0,,,,,
44117.0,29975.0,35725.0,30333.0,14192.0,22288.0,45673.0,53311.0,37678.0,
7367.0,43169.0,19354.0,27755.0,21733.0,14140.0,46113.0,53361.0,,
768.0,,,,,,,,,
31584.0,46751.0,35228.0,2757.0,10316.0,15353.0,,,,
33781.0,30339.0,55127.0,34306.0,38090.0,49919.0,36609.0,,,
10476.0,4150.0,38409.0,49492.0,12929.0,,,,,
30549.0,12808.0,42092.0,52156.0,11050.0,21030.0,,,,
54.0,3852.0,,,,,,,,
58087.0,6452.0,44541.0,17457.0,,,,,,
36414.0,8481.0,52355.0,36102.0,,,,,,
,,,,,,,,,
13.0,29397.0,4702.0,4697.0,4726.0,4722.0,55549.0,29396.0,,
47141.0,41108.0,14920.0,36408.0,31530.0,14706.0,21806.0,,,
46055.0,3899.0,40910.0,,,,,,,
5496.0,36721.0,440.0,49858.0,32141.0,37448.0,39175.0,43506.0,,
51451.0,41704.0,53702.0,19501.0,3995.0,3903.0,33137.0,28098.0,41677.0,
3732.0,11804.0,58539.0,4631.0,,,,,,
42870.0,58745.0,7510.0,7262.0,17204.0,47511.0,57523.0,,,
25395.0,49858.0,7160.0,28811.0,12694.0,261.0,44418.0,,,
48690.0,5315.0,35642.0,,,,,,,
56036.0,58177.0,52389.0,42142.0,32911.0,31783.0,27837.0,56676.0,2257.0,
40293.0,14645.0,38583.0,40872.0,23360.0,51380.0,53595.0,31552.0,,
51.0,33210.0,,,,,,,,
22741.0,44878.0,59464.0,54552.0,1386.0,48221.0,10805.0,49752.0,,
24390.0,9620.0,,,,,,,,
27898.0,35268.0,59318.0,55604.0,28106.0,5900.0,18329.0,38947.0,,
42806.0,8811.0,58878.0,25885.0,31315.0,4346.0,,,,
55345.0,12598.0,,,,,,,,
7566.0,19723.0,45546.0,36515.0,34111.0,21000.0,20332.0,13361.0,,
39216.0,59926.0,,,,,,,,
,,,,,,,,,
46209.0,28228.0,41668.0,18959.0,15198.0,55431.0,27583.0,,,
4841.0,8619.0,,,,,,,,
14468.0,24737.0,56708.0,59222.0,59421.0,25095.0,29470.0,,,
59406.0,8667.0,55435.0,6382.0,16990.0,21891.0,44451.0,50186.0,,
